793	1438
691	13
401	1672
765	1325
173	507
760	1200
831	226
165	1584
370	1152
522	968
153	220
457	794
779	661
500	883
634	1110
412	727
398	1540
755	1624
716	948
290	286
881	1587
678	1025
411	959
849	1387
849	1385
244	1714
90	112
474	1349
828	72
725	779
649	1263
706	1420
79	610
818	1003
109	935
387	729
25	215
829	1477
715	480
801	360
558	1485
806	1262
702	170
490	1552
383	1568
168	421
547	699
431	1454
716	947
424	1693
90	111
512	1081
332	1235
86	131
366	744
136	746
251	703
356	1708
699	1546
70	522
726	290
862	588
410	1306
674	1401
573	600
647	1132
265	1746
692	527
16	1705
879	63
399	909
513	768
453	1192
464	560
388	1213
579	1465
391	1685
8	866
242	1102
499	1288
271	1720
190	1143
579	1462
764	803
478	38
199	1722
361	1402
606	468
114	339
568	680
455	110
589	796
848	324
106	1435
391	1683
539	1038
94	1335
358	1131
779	663
782	999
676	495
188	532
833	1035
708	435
582	899
269	1434
528	81
46	904
519	1073
879	64
681	760
655	664
249	696
703	1494
439	1712
415	216
814	1254
532	265
630	383
427	1055
665	1142
500	884
683	1127
111	1636
824	1371
828	76
738	896
387	731
573	599
375	938
686	369
265	1749
406	1437
584	251
386	1231
206	1117
789	1696
687	536
857	350
728	1497
411	961
336	584
482	1610
87	713
161	243
384	371
837	1740
120	1442
503	328
255	799
768	424
519	1074
745	1655
102	1421
836	1653
755	1623
869	556
183	978
658	1206
572	23
877	561
742	1567
827	1187
311	1146
391	1684
382	305
742	1566
828	75
652	678
755	1625
505	321
715	479
401	1674
645	494
505	322
